time_s,Tc_K
0.000152044,287.999944098
0.000152440,287.999943860
0.000152837,287.999943621
0.000153234,287.999943381
0.000153632,287.999943141
0.000154030,287.999942901
0.000154429,287.999942660
0.000154828,287.999942418
0.000155228,287.999942175
0.000155628,287.999941932
0.000156028,287.999941689
0.000156429,287.999941445
0.000156831,287.999941200
0.000157232,287.999940955
0.000157635,287.999940709
0.000158038,287.999940462
0.000158441,287.999940215
0.000158845,287.999939967
0.000159249,287.999939719
0.000159654,287.999939470
0.000160059,287.999939221
0.000160464,287.999938971
0.000160871,287.999938720
0.000161277,287.999938469
0.000161684,287.999938217
0.000162092,287.999937964
0.000162500,287.999937711
0.000162908,287.999937458
0.000163317,287.999937203
0.000163727,287.999936948
0.000164137,287.999936693
0.000164547,287.999936437
0.000164958,287.999936180
0.000165369,287.999935923
0.000165781,287.999935665
0.000166194,287.999935407
0.000166606,287.999935148
0.000167020,287.999934888
0.000167433,287.999934628
0.000167848,287.999934367
0.000168262,287.999934105
0.000168678,287.999933843
0.000169093,287.999933580
0.000169510,287.999933317
0.000169926,287.999933053
0.000170344,287.999932788
0.000170761,287.999932523
0.000171179,287.999932258
0.000171598,287.999931991
0.000172017,287.999931724
0.000172437,287.999931457
0.000172857,287.999931188
0.000173277,287.999930919
0.000173699,287.999930650
0.000174120,287.999930380
0.000174542,287.999930109
0.000174965,287.999929838
0.000175388,287.999929566
0.000175812,287.999929293
0.000176236,287.999929020
0.000176660,287.999928747
0.000177085,287.999928472
0.000177511,287.999928197
0.000177937,287.999927921
0.000178364,287.999927645
0.000178791,287.999927368
0.000179218,287.999927091
0.000179646,287.999926813
0.000180075,287.999926534
0.000180504,287.999926254
0.000180934,287.999925974
0.000181364,287.999925694
0.000181794,287.999925413
0.000182225,287.999925131
0.000182657,287.999924848
0.000183089,287.999924565
0.000183522,287.999924281
0.000183955,287.999923997
0.000184388,287.999923712
0.000184823,287.999923426
0.000185257,287.999923140
0.000185692,287.999922853
0.000186128,287.999922565
0.000186564,287.999922277
0.000187001,287.999921988
0.000187438,287.999921698
0.000187876,287.999921408
0.000188314,287.999921118
0.000188753,287.999920826
0.000189192,287.999920534
0.000189632,287.999920241
0.000190073,287.999919948
0.000190514,287.999919654
0.000190955,287.999919359
0.000191397,287.999919064
0.000191839,287.999918768
0.000192282,287.999918472
0.000192726,287.999918174
0.000193170,287.999917877
0.000193614,287.999917578
0.000194059,287.999917279
0.000194505,287.999916979
0.000194951,287.999916679
0.000195398,287.999916378
0.000195845,287.999916076
0.000196292,287.999915774
0.000196741,287.999915471
0.000197189,287.999915167
0.000197639,287.999914863
0.000198088,287.999914558
0.000198539,287.999914252
0.000198990,287.999913946
0.000199441,287.999913639
0.000199893,287.999913331
0.000200345,287.999913023
0.000200798,287.999912714
0.000201252,287.999912404
0.000201706,287.999912094
0.000202161,287.999911783
0.000202616,287.999911471
0.000203072,287.999911159
0.000203528,287.999910846
0.000203985,287.999910533
0.000204442,287.999910218
0.000204900,287.999909904
0.000205358,287.999909588
0.000205817,287.999909272
0.000206277,287.999908955
0.000206737,287.999908637
0.000207197,287.999908319
0.000207658,287.999908000
0.000208120,287.999907681
0.000208582,287.999907360
0.000209045,287.999907039
0.000209509,287.999906718
0.000209972,287.999906396
0.000210437,287.999906073
0.000210902,287.999905749
0.000211367,287.999905425
0.000211834,287.999905100
0.000212300,287.999904774
0.000212767,287.999904448
0.000213235,287.999904121
0.000213704,287.999903793
0.000214172,287.999903465
0.000214642,287.999903136
0.000215112,287.999902806
0.000215582,287.999902476
0.000216054,287.999902145
0.000216525,287.999901813
0.000216998,287.999901480
0.000217470,287.999901147
0.000217944,287.999900814
0.000218418,287.999900479
0.000218892,287.999900144
0.000219367,287.999899808
0.000219843,287.999899471
0.000220319,287.999899134
0.000220796,287.999898796
0.000221273,287.999898457
0.000221751,287.999898118
0.000222230,287.999897778
0.000222709,287.999897437
0.000223188,287.999897096
0.000223669,287.999896754
0.000224149,287.999896411
0.000224631,287.999896067
0.000225113,287.999895723
0.000225595,287.999895378
0.000226078,287.999895033
0.000226562,287.999894686
0.000227046,287.999894339
0.000227531,287.999893992
0.000228016,287.999893643
0.000228502,287.999893294
0.000228989,287.999892944
0.000229476,287.999892594
0.000229964,287.999892243
0.000230452,287.999891891
0.000230941,287.999891538
0.000231431,287.999891185
0.000231921,287.999890830
0.000232411,287.999890476
0.000232903,287.999890120
0.000233395,287.999889764
0.000233887,287.999889407
0.000234380,287.999889049
0.000234874,287.999888691
0.000235368,287.999888332
0.000235863,287.999887972
0.000236358,287.999887612
0.000236854,287.999887250
0.000237351,287.999886889
0.000237848,287.999886526
0.000238346,287.999886162
0.000238844,287.999885798
0.000239343,287.999885434
0.000239843,287.999885068
0.000240343,287.999884702
0.000240844,287.999884335
0.000241345,287.999883967
0.000241847,287.999883598
0.000242350,287.999883229
0.000242853,287.999882859
0.000243357,287.999882489
0.000243861,287.999882117
0.000244366,287.999881745
0.000244872,287.999881372
0.000245378,287.999880999
0.000245885,287.999880625
0.000246393,287.999880249
0.000246901,287.999879874
0.000247410,287.999879497
0.000247919,287.999879120
0.000248429,287.999878742
0.000248939,287.999878363
0.000249451,287.999877984
0.000249962,287.999877604
0.000250475,287.999877223
0.000250988,287.999876841
0.000251501,287.999876458
0.000252016,287.999876075
0.000252531,287.999875691
0.000253046,287.999875307
0.000253562,287.999874921
0.000254079,287.999874535
0.000254596,287.999874148
0.000255115,287.999873760
0.000255633,287.999873372
0.000256152,287.999872983
0.000256672,287.999872593
0.000257193,287.999872202
0.000257714,287.999871811
0.000258236,287.999871419
0.000258758,287.999871026
0.000259281,287.999870632
0.000259805,287.999870237
0.000260329,287.999869842
0.000260854,287.999869446
0.000261380,287.999869049
0.000261906,287.999868652
0.000262433,287.999868254
0.000262961,287.999867855
0.000263489,287.999867455
0.000264018,287.999867054
0.000264547,287.999866653
0.000265077,287.999866251
0.000265608,287.999865848
0.000266139,287.999865444
0.000266672,287.999865040
0.000267204,287.999864634
0.000267738,287.999864228
0.000268272,287.999863822
0.000268806,287.999863414
0.000269342,287.999863006
0.000269877,287.999862597
0.000270414,287.999862187
0.000270951,287.999861776
0.000271489,287.999861365
0.000272028,287.999860953
0.000272567,287.999860540
0.000273107,287.999860126
0.000273647,287.999859711
0.000274189,287.999859296
0.000274730,287.999858880
0.000275273,287.999858463
0.000275816,287.999858045
0.000276360,287.999857627
0.000276905,287.999857208
0.000277450,287.999856788
0.000277996,287.999856367
0.000278542,287.999855945
0.000279089,287.999855523
0.000279637,287.999855099
0.000280186,287.999854675
0.000280735,287.999854250
0.000281285,287.999853825
0.000281835,287.999853398
0.000282386,287.999852971
0.000282938,287.999852543
0.000283491,287.999852114
0.000284044,287.999851685
0.000284598,287.999851254
0.000285153,287.999850823
0.000285708,287.999850391
0.000286264,287.999849958
0.000286821,287.999849524
0.000287378,287.999849090
0.000287936,287.999848655
0.000288495,287.999848219
0.000289054,287.999847782
0.000289614,287.999847344
0.000290175,287.999846905
0.000290736,287.999846466
0.000291298,287.999846026
0.000291861,287.999845585
0.000292425,287.999845143
0.000292989,287.999844700
0.000293554,287.999844257
0.000294120,287.999843813
0.000294686,287.999843367
0.000295253,287.999842922
0.000295821,287.999842475
0.000296389,287.999842027
0.000296958,287.999841579
0.000297528,287.999841130
0.000298098,287.999840679
0.000298670,287.999840229
0.000299241,287.999839777
0.000299814,287.999839324
0.000300387,287.999838871
0.000300961,287.999838417
0.000301536,287.999837962
0.000302112,287.999837506
0.000302688,287.999837049
0.000303265,287.999836591
0.000303842,287.999836133
0.000304421,287.999835674
0.000305000,287.999835213
0.000305579,287.999834753
0.000306160,287.999834291
0.000306741,287.999833828
0.000307323,287.999833365
0.000307905,287.999832900
0.000308489,287.999832435
0.000309073,287.999831969
0.000309658,287.999831502
0.000310243,287.999831034
0.000310829,287.999830566
0.000311416,287.999830096
0.000312004,287.999829626
0.000312592,287.999829155
0.000313181,287.999828683
0.000313771,287.999828210
0.000314362,287.999827736
0.000314953,287.999827261
0.000315545,287.999826786
0.000316138,287.999826309
0.000316732,287.999825832
0.000317326,287.999825354
0.000317921,287.999824875
0.000318517,287.999824395
0.000319113,287.999823915
0.000319710,287.999823433
0.000320308,287.999822951
0.000320907,287.999822467
0.000321507,287.999821983
0.000322107,287.999821498
0.000322708,287.999821012
0.000323309,287.999820525
0.000323912,287.999820038
0.000324515,287.999819549
0.000325119,287.999819059
0.000325724,287.999818569
0.000326329,287.999818078
0.000326935,287.999817586
0.000327542,287.999817093
0.000328150,287.999816599
0.000328759,287.999816104
0.000329368,287.999815608
0.000329978,287.999815112
0.000330589,287.999814614
0.000331200,287.999814116
0.000331813,287.999813617
0.000332426,287.999813116
0.000333040,287.999812615
0.000333654,287.999812113
0.000334270,287.999811610
0.000334886,287.999811107
0.000335503,287.999810602
0.000336120,287.999810096
0.000336739,287.999809590
0.000337358,287.999809083
0.000337978,287.999808574
0.000338599,287.999808065
0.000339220,287.999807555
0.000339843,287.999807044
0.000340466,287.999806532
0.000341090,287.999806019
0.000341714,287.999805505
0.000342340,287.999804991
0.000342966,287.999804475
0.000343593,287.999803958
0.000344221,287.999803441
0.000344850,287.999802922
0.000345479,287.999802403
0.000346109,287.999801883
0.000346740,287.999801362
0.000347372,287.999800840
0.000348005,287.999800317
0.000348638,287.999799793
0.000349272,287.999799268
0.000349907,287.999798742
0.000350543,287.999798215
0.000351180,287.999797687
0.000351817,287.999797159
0.000352455,287.999796629
0.000353094,287.999796099
0.000353734,287.999795567
0.000354375,287.999795035
0.000355016,287.999794502
0.000355658,287.999793967
0.000356301,287.999793432
0.000356945,287.999792896
0.000357590,287.999792359
0.000358235,287.999791821
0.000358882,287.999791282
0.000359529,287.999790742
0.000360177,287.999790201
0.000360825,287.999789659
0.000361475,287.999789116
0.000362125,287.999788572
0.000362777,287.999788027
0.000363429,287.999787482
0.000364081,287.999786935
0.000364735,287.999786387
0.000365390,287.999785838
0.000366045,287.999785289
0.000366701,287.999784738
0.000367358,287.999784187
0.000368016,287.999783634
0.000368675,287.999783081
0.000369334,287.999782526
0.000369995,287.999781971
0.000370656,287.999781414
0.000371318,287.999780857
0.000371981,287.999780299
0.000372644,287.999779739
0.000373309,287.999779179
0.000373974,287.999778618
0.000374641,287.999778055
0.000375308,287.999777492
0.000375976,287.999776928
0.000376644,287.999776362
0.000377314,287.999775796
0.000377985,287.999775229
0.000378656,287.999774661
0.000379328,287.999774091
0.000380001,287.999773521
0.000380675,287.999772950
0.000381350,287.999772377
0.000382025,287.999771804
0.000382702,287.999771230
0.000383379,287.999770655
0.000384058,287.999770078
0.000384737,287.999769501
0.000385417,287.999768923
0.000386098,287.999768343
0.000386779,287.999767763
0.000387462,287.999767182
0.000388145,287.999766599
0.000388830,287.999766016
0.000389515,287.999765432
0.000390201,287.999764846
0.000390888,287.999764260
0.000391576,287.999763672
0.000392264,287.999763084
0.000392954,287.999762494
0.000393644,287.999761904
0.000394336,287.999761312
0.000395028,287.999760720
0.000395721,287.999760126
0.000396415,287.999759531
0.000397110,287.999758936
0.000397806,287.999758339
0.000398503,287.999757741
0.000399200,287.999757142
0.000399899,287.999756543
0.000400598,287.999755942
0.000401299,287.999755340
0.000402000,287.999754737
0.000402702,287.999754133
0.000403405,287.999753528
0.000404109,287.999752921
0.000404814,287.999752314
0.000405519,287.999751706
0.000406226,287.999751097
0.000406933,287.999750486
0.000407642,287.999749875
0.000408351,287.999749262
0.000409062,287.999748649
0.000409773,287.999748034
0.000410485,287.999747419
0.000411198,287.999746802
0.000411912,287.999746184
0.000412627,287.999745565
0.000413343,287.999744945
0.000414059,287.999744324
0.000414777,287.999743702
0.000415496,287.999743079
0.000416215,287.999742455
0.000416936,287.999741829
0.000417657,287.999741203
0.000418379,287.999740575
0.000419102,287.999739947
0.000419827,287.999739317
0.000420552,287.999738686
0.000421278,287.999738054
0.000422005,287.999737421
0.000422733,287.999736787
0.000423462,287.999736152
0.000424192,287.999735516
0.000424922,287.999734879
0.000425654,287.999734240
0.000426387,287.999733601
0.000427120,287.999732960
0.000427855,287.999732318
0.000428591,287.999731675
0.000429327,287.999731031
0.000430065,287.999730386
0.000430803,287.999729740
0.000431542,287.999729093
0.000432283,287.999728444
0.000433024,287.999727795
0.000433766,287.999727144
0.000434509,287.999726492
0.000435254,287.999725839
0.000435999,287.999725185
0.000436745,287.999724530
0.000437492,287.999723874
0.000438240,287.999723216
0.000438989,287.999722558
0.000439739,287.999721898
0.000440490,287.999721237
0.000441242,287.999720575
0.000441995,287.999719912
0.000442749,287.999719248
0.000443504,287.999718582
0.000444260,287.999717916
0.000445017,287.999717248
0.000445775,287.999716579
0.000446534,287.999715909
0.000447294,287.999715238
0.000448055,287.999714566
0.000448817,287.999713892
0.000449580,287.999713218
0.000450344,287.999712542
0.000451109,287.999711865
0.000451875,287.999711187
0.000452642,287.999710508
0.000453410,287.999709827
0.000454179,287.999709146
0.000454948,287.999708463
0.000455719,287.999707779
0.000456491,287.999707094
0.000457264,287.999706407
0.000458038,287.999705720
0.000458814,287.999705031
0.000459590,287.999704341
0.000460367,287.999703650
0.000461145,287.999702958
0.000461924,287.999702265
0.000462704,287.999701570
0.000463485,287.999700874
0.000464267,287.999700177
0.000465051,287.999699479
0.000465835,287.999698780
0.000466620,287.999698079
0.000467407,287.999697378
0.000468194,287.999696675
0.000468983,287.999695970
0.000469772,287.999695265
0.000470563,287.999694558
0.000471354,287.999693851
0.000472147,287.999693141
0.000472940,287.999692431
0.000473735,287.999691720
0.000474531,287.999691007
0.000475328,287.999690293
0.000476126,287.999689578
0.000476925,287.999688862
0.000477725,287.999688144
0.000478526,287.999687425
0.000479328,287.999686705
0.000480131,287.999685984
0.000480935,287.999685261
0.000481740,287.999684538
0.000482547,287.999683813
0.000483354,287.999683086
0.000484163,287.999682359
0.000484973,287.999681630
0.000485783,287.999680900
0.000486595,287.999680169
0.000487408,287.999679437
0.000488222,287.999678703
0.000489037,287.999677968
0.000489853,287.999677232
0.000490670,287.999676494
0.000491488,287.999675755
0.000492308,287.999675015
0.000493128,287.999674274
0.000493950,287.999673531
0.000494772,287.999672788
0.000495596,287.999672043
0.000496421,287.999671296
0.000497247,287.999670548
0.000498074,287.999669799
0.000498902,287.999669049
0.000499732,287.999668298
0.000500562,287.999667545
0.000501394,287.999666791
0.000502226,287.999666035
0.000503060,287.999665279
0.000503895,287.999664521
0.000504731,287.999663762
0.000505568,287.999663001
0.000506406,287.999662239
0.000507245,287.999661476
0.000508086,287.999660711
0.000508928,287.999659946
0.000509770,287.999659179
0.000510614,287.999658410
0.000511459,287.999657640
0.000512305,287.999656869
0.000513153,287.999656097
0.000514001,287.999655323
0.000514851,287.999654548
0.000515701,287.999653772
0.000516553,287.999652994
0.000517406,287.999652215
0.000518260,287.999651435
0.000519116,287.999650653
0.000519972,287.999649870
0.000520830,287.999649086
0.000521688,287.999648300
0.000522548,287.999647513
0.000523409,287.999646725
0.000524272,287.999645935
0.000525135,287.999645144
0.000526000,287.999644352
0.000526866,287.999643558
0.000527732,287.999642763
0.000528601,287.999641966
0.000529470,287.999641168
0.000530340,287.999640369
0.000531212,287.999639569
0.000532085,287.999638767
0.000532959,287.999637963
0.000533834,287.999637159
0.000534710,287.999636352
0.000535588,287.999635545
0.000536467,287.999634736
0.000537347,287.999633926
0.000538228,287.999633114
0.000539110,287.999632301
0.000539994,287.999631487
0.000540879,287.999630671
0.000541765,287.999629854
0.000542652,287.999629035
0.000543540,287.999628215
0.000544430,287.999627394
0.000545320,287.999626571
0.000546213,287.999625747
0.000547106,287.999624921
0.000548000,287.999624094
0.000548896,287.999623266
0.000549793,287.999622436
0.000550691,287.999621604
0.000551590,287.999620772
