time_s,pc_Pa
0.300366740,779987.882655681
0.303968507,779176.388739496
0.311848566,779932.136451501
0.315022907,779119.633717763
0.321452621,779381.368712263
0.324554245,779151.344853108
0.332586218,778890.708452368
0.335764665,779094.913949704
0.346095985,778284.130368511
0.349268844,779031.972905062
0.355213826,778233.063377891
0.359479264,778977.740768513
0.364184598,778186.108627556
0.370061570,778919.557473988
0.374103435,778136.028189609
0.378318689,778429.118818788
0.382508745,778270.660949444
0.387580083,778073.332402645
0.391732287,778302.800818704
0.397837744,777632.876046080
0.402036626,778381.892443529
0.405932618,777572.432902076
0.411673260,778332.486035689
0.415097307,777526.205577080
0.424083599,778271.795014378
0.427104022,777464.543696696
0.433696435,777622.252464389
0.436839918,777473.620108271
0.445047848,777137.045212145
0.448259269,777416.263350759
0.457493094,776601.796505775
0.460757329,777351.140683858
0.466629483,776552.065449742
0.471000814,777296.889112235
0.475662825,776505.040531815
0.481761868,777238.110874013
0.485217413,776565.868120015
0.490436140,776700.938244792
0.494092620,776619.808803510
0.500398949,776291.497641113
0.500399151,777048.571845111
0.500399352,777806.337311560
0.500399554,778564.794533808
0.500399756,779323.944005874
0.500399959,780083.786222442
0.500400161,780844.321677434
0.500400364,781605.550865432
0.500400567,782367.474280251
0.500400770,783130.092415649
0.500400974,783893.405765326
0.500401177,784657.414822929
0.500401381,785422.120082758
0.500401585,786187.522038340
0.500401789,786953.621183853
0.500401994,787720.418011977
0.500402199,788487.913016764
0.500402404,789256.106691481
0.500402609,790024.999530043
0.500402814,790794.592025580
0.500403020,791564.884671151
0.500403226,792335.877959738
0.500403432,793107.572384972
0.500403638,793879.968439689
0.500403845,794653.066616647
0.500404051,795426.867408526
0.500404258,796201.371308642
0.500404466,796976.578809515
0.500404673,797752.490403578
0.500404881,798529.106583898
0.500405089,799306.427842739
0.500405297,800084.454672277
0.500405505,800863.187564600
0.500405714,801642.627012418
0.500405922,802422.773507635
0.500406131,803203.627542062
0.500406341,803985.189608124
0.500406550,804767.460197439
0.500406760,805550.439801525
0.500406970,806334.128911800
0.500407180,807118.528020292
0.500407390,807903.637618212
0.500407601,808689.458196669
0.500407812,809475.990247374
0.500408023,810263.234261218
0.500408234,811051.190728984
0.500408446,811839.860141341
0.500408657,812629.242989557
0.500408869,813419.339764074
0.500409081,814210.150955217
0.500409294,815001.677053192
0.500409507,815793.918548799
0.500409719,816586.875932001
0.500409933,817380.549693351
0.500410146,818174.940321858
0.500410360,818970.048307822
0.500410573,819765.874141414
0.500410787,820562.418311261
0.500411002,821359.681307271
0.500411216,822157.663618512
0.500411431,822956.365733921
0.500411646,823755.788142998
0.500411861,824555.931334404
0.500412077,825356.795796657
0.500412292,826158.382018841
0.500412508,826960.690489189
0.500412724,827763.721695789
0.500412941,828567.476126583
0.500413157,829371.954270067
0.500413374,830177.156613886
0.500413591,830983.083645529
0.500413809,831789.735853035
0.500414026,832597.113722884
0.500414244,833405.217743503
0.500414462,834214.048401054
0.500414680,835023.606182942
0.500414899,835833.891575709
0.500415118,836644.905065731
0.500415337,837456.647139916
0.500415556,838269.118283609
0.500415775,839082.318984080
0.500415995,839896.249726327
0.500416215,840710.910996579
0.500416435,841526.303280186
0.500416656,842342.427062321
0.500416876,843159.282828679
0.500417097,843976.871064072
0.500417318,844795.192253134
0.500417540,845614.246880311
0.500417761,846434.035430558
0.500417983,847254.558387951
0.500418205,848075.816236369
0.500418428,848897.809460200
0.500418650,849720.538542939
0.500418873,850544.003967889
0.500419096,851368.206218843
0.500419320,852193.145778709
0.500419543,853018.823130186
