time_s,Tc_K
0.699122376,1848.380712579
0.701057449,1847.799414505
0.703007754,1848.509257021
0.704585861,1847.915657540
0.707050207,1848.642754737
0.708374621,1848.040854908
0.711811114,1848.799835812
0.712924881,1848.191372600
0.719453401,1849.052014564
0.720340676,1848.437100764
0.734320442,1848.254024595
0.736032099,1848.958611061
0.737863389,1848.373929838
0.739960867,1849.087098510
0.741468950,1848.493935779
0.744186322,1849.225725158
0.745453923,1848.626011487
0.749485679,1849.399654913
0.750542112,1848.794344717
0.761072254,1849.781651346
0.761846462,1849.168747315
0.765925067,1848.664138980
0.767350522,1849.350234160
0.769792866,1848.792640032
0.771501575,1849.486858378
0.773378592,1848.911293818
0.775471597,1849.617379544
0.777009091,1849.031344564
0.779717868,1849.756975314
0.781006403,1849.163326535
0.785010593,1849.931086252
0.786082822,1849.331121527
0.796278915,1850.301632694
0.797068895,1849.694410623
0.801413196,1849.203939919
0.802844200,1849.884746606
0.805335101,1849.333869468
0.807054086,1850.023239304
0.808956255,1849.453388922
0.811065976,1850.155141228
0.812619139,1849.574292571
0.815357527,1850.296083345
0.816656207,1849.707586731
0.820732089,1850.472683830
0.821809747,1849.877744694
0.832629723,1850.863672427
0.833412525,1850.261127412
0.837381678,1849.762708059
0.838854971,1850.440237564
0.841281266,1849.891937871
0.843057065,1850.578264881
0.844925143,1850.012148606
0.847120811,1850.711604249
0.848649549,1850.135074746
0.851543702,1850.856660480
0.852820371,1850.272579603
0.857313417,1851.045902392
0.858364183,1850.455399380
0.875268362,1851.635656160
0.875946093,1851.035836255
0.878124887,1850.484508462
0.880071847,1851.171202373
0.881798978,1850.605646721
0.884263160,1851.308483348
0.885690363,1850.733859902
0.889117558,1851.467598765
0.890305922,1850.885894623
0.896690923,1851.715608476
0.897633346,1851.127263963
0.914881011,1851.075118439
0.917036642,1851.769319826
0.918635616,1851.201151168
0.921460424,1851.912672082
0.922789026,1851.338605029
0.927081691,1852.095649631
0.928175227,1851.515956898
0.941297444,1852.561187330
0.942052693,1851.973008304
0.945104823,1851.459261542
0.946765928,1852.127392654
0.948923877,1851.585165709
0.950959958,1852.264600275
0.952672743,1851.708512754
0.955286776,1852.405968529
0.956699475,1851.840905469
0.960458042,1852.575004008
0.961626281,1852.002745592
0.969715405,1852.877708376
0.970607357,1852.298011554
0.977954444,1851.929343965
0.979467145,1852.588980321
0.982022900,1852.064044743
0.983863195,1852.732673067
0.985797769,1852.188218643
0.988098647,1852.871048258
0.989666810,1852.315311825
0.992759698,1853.023192249
0.994057691,1852.459512374
0.999130734,1853.231064815
1.000181427,1852.660537990
1.029259421,1853.984037165
1.029961107,1853.407537490
1.032181375,1852.880011658
1.034260080,1853.547958943
1.036007954,1853.005301848
1.038696874,1853.692692658
1.040130530,1853.140307091
1.044061366,1853.867436776
1.045239271,1853.307623488
1.054426166,1854.205418228
1.055302122,1853.637458360
1.060922097,1853.223899732
1.062460851,1853.871543151
1.065086735,1853.360909699
1.066969104,1854.018489853
1.068938177,1853.487238716
1.071308634,1854.159757574
1.072896346,1853.616856856
1.076125902,1854.316532864
1.077432940,1853.765289974
1.082953573,1854.538613418
1.083998842,1853.980101307
1.128686821,1855.311077012
1.129633425,1854.760865164
1.138407432,1854.470917749
1.140058268,1855.099967986
1.142521478,1854.600361181
1.144557163,1855.247067075
1.146439574,1854.726662035
1.149058780,1855.393871510
1.150582543,1854.861271446
1.154341924,1855.565746670
1.155587559,1855.024365226
1.163518435,1855.863694005
1.164464357,1855.313938869
1.172650627,1854.999072320
1.174292243,1855.634418004
1.176817176,1855.136009531
1.178847049,1855.782128717
1.180762850,1855.264986247
1.183376106,1855.928737471
1.184921923,1855.400649958
1.188668179,1856.100143656
1.189929572,1855.563803922
1.197760579,1856.394530035
1.198719045,1855.850154420
1.207286198,1855.552417093
1.208961248,1856.183621339
1.211457546,1855.689485723
1.213536604,1856.331639525
1.215436502,1855.819332026
1.218133965,1856.480302752
1.219666612,1855.957012537
1.223608379,1856.657313126
1.224854451,1856.125791151
1.233924680,1856.990746629
1.234846139,1856.450734912
1.240868565,1856.075523371
1.242504121,1856.699374466
1.245158259,1856.215615187
1.247187268,1856.850837815
1.249167979,1856.346240411
1.251783560,1856.999230197
1.253370100,1856.482811098
1.257119669,1857.171489321
1.258408685,1856.646449462
1.266212062,1857.465204800
1.267188929,1856.931580374
1.276013638,1856.651403364
1.277737956,1857.274091665
1.280222243,1856.789358940
1.282376596,1857.423687910
1.284268269,1856.921104338
1.287099024,1857.575824455
1.288621628,1857.062403460
1.292892643,1857.762535009
1.294121340,1857.240798294
1.306066634,1858.187284092
1.306920546,1857.655884582
1.310674370,1857.217373913
1.312463593,1857.834905893
1.314862783,1857.353423185
1.317112280,1857.984743617
1.318955552,1857.486171934
1.321958305,1858.140763093
1.323443471,1857.631510374
1.328184990,1858.341145285
1.329373639,1857.823514726
1.349545041,1859.028831318
1.350250683,1858.499479467
1.352180496,1858.008723001
1.355055315,1858.653901173
1.356600351,1858.151645296
1.360982719,1858.844325885
1.362222935,1858.333344730
1.375374679,1859.306905180
1.376213232,1858.785596146
1.379517527,1858.342849459
1.381438488,1858.953660091
1.383696794,1858.478098012
1.386149442,1859.104950865
1.387907439,1858.614089771
1.391305961,1859.270337619
1.392721269,1858.769487010
1.398795856,1859.510493863
1.399898956,1859.001043308
1.434822325,1859.578293757
1.450031807,1859.639704799
1.452511629,1860.071786943
1.454418971,1859.718029591
1.457776043,1860.270340989
1.459270528,1859.843799576
1.465010115,1860.535949030
1.466163833,1860.055988129
