time_s,pc_Pa
0.327617328,2723527.939911484
0.329229639,2727354.807992014
0.330770486,2723679.190727581
0.332706026,2727522.324709152
0.334018494,2723835.573390812
0.336457325,2727703.096173624
0.337589061,2724007.933583328
0.341003124,2727922.811607055
0.341973096,2724220.318175015
0.348678405,2728296.039325393
0.349459788,2724585.579260191
0.359823094,2721348.243057824
0.361122498,2725156.629818468
0.363214855,2721514.472025857
0.364734169,2725329.863691740
0.366416198,2721669.221158853
0.368222485,2725497.297747114
0.369637084,2721824.457802642
0.371865925,2725672.169719747
0.373079352,2721990.452393490
0.376049946,2725873.623084406
0.377093117,2722184.304007784
0.381944918,2726158.885724333
0.382815913,2722462.142395012
0.410948981,2725940.377101345
0.411590281,2722240.471458291
0.414122929,2718637.121239875
0.415534676,2722430.389967896
0.417453843,2718796.751950290
0.419118059,2722602.432391592
0.420691959,2718951.969540898
0.422705617,2722774.653667982
0.424039683,2719112.695553775
0.426610856,2722962.225352712
0.427755342,2719291.576436432
0.431466126,2723196.039536080
0.432438862,2719517.808446635
0.440844058,2723650.650447206
0.441598195,2719963.545639914
0.447296517,2716521.054636190
0.448523476,2720299.100195238
0.451043653,2716702.868157607
0.452483656,2720489.024946168
0.454397840,2716864.172219448
0.456101424,2720662.231278514
0.457671651,2717021.243179213
0.459744711,2720836.647094782
0.461074708,2717184.483123729
0.463749962,2721028.475629052
0.464888697,2717367.812797712
0.468853903,2721273.977509744
0.469816313,2717605.567466629
0.480330087,2721830.283364632
0.481043944,2718151.743054373
0.484847519,2714627.182253507
0.486135971,2718396.851509536
0.488495456,2714802.835934959
0.490010787,2718582.395161178
0.491843326,2714963.368129654
0.493649615,2718756.278946648
0.495165160,2715122.495246236
0.497395541,2718935.371556615
0.498682311,2715291.135342502
0.501649408,2719138.900603102
0.502748074,2715486.401465129
0.507545565,2719422.699031624
0.508459095,2715762.080971676
0.533962364,2719626.841591136
0.534592480,2715959.374257553
0.536742906,2712369.598675763
0.538384456,2716140.709687655
0.540099644,2712529.739687847
0.542084492,2716317.339808699
0.543517378,2712692.858272405
0.546038185,2716506.214339624
0.547257010,2712871.770327450
0.550833851,2716735.795312821
0.551865825,2713093.097000029
0.559258908,2717140.860689526
0.560071979,2713489.481837474
0.568286155,2710201.321775182
0.569614754,2713950.853502440
0.571998722,2710380.136687335
0.573570056,2714139.346700053
0.575416191,2710543.634939273
0.577303775,2714317.118966112
0.578826413,2710706.433878896
0.581187058,2714501.977055789
0.582475313,2710880.699058941
0.585699434,2714717.236131983
0.586792364,2711087.329487193
0.592473545,2715042.488057921
0.593363782,2711403.673819291
0.628786676,2709440.276389300
0.668479224,2710037.021258033
0.669797356,2705855.639046520
0.672369797,2709839.733334097
0.673591799,2706114.855067295
0.677424422,2709989.091405699
0.678469241,2706359.835237389
0.687545538,2710435.292374459
0.688341226,2706828.322242261
0.693597011,2703448.171545114
0.694951770,2707145.087761448
